,song_name,song_id,artist_name,artist_id,alb_name,alb_id,song_likes
0,Dynamite,32872978.0,방탄소년단,672375.0,Dynamite (DayTime Version),10479150.0,440195
1,Life Goes On,33077234.0,방탄소년단,672375.0,BE,10521521.0,240484
2,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),31737197.0,방탄소년단,672375.0,MAP OF THE SOUL : PERSONA,10273641.0,438387
3,ON,32399830.0,방탄소년단,672375.0,MAP OF THE SOUL : 7,10377346.0,264622
4,봄날,30244931.0,방탄소년단,672375.0,YOU NEVER WALK ALONE,10037969.0,562613
5,IDOL,31266290.0,방탄소년단,672375.0,LOVE YOURSELF 結 'Answer',10197480.0,319530
6,Butter,33507137.0,방탄소년단,672375.0,Butter,10612483.0,276838
7,Permission to Dance,33666269.0,방탄소년단,672375.0,Butter / Permission to Dance,10648182.0,211840
8,RUN,7953785.0,방탄소년단,672375.0,화양연화 pt.2,2653551.0,189929
9,FAKE LOVE,31085237.0,방탄소년단,672375.0,LOVE YOURSELF 轉 'Tear',10168559.0,335211
10,DNA,30637982.0,방탄소년단,672375.0,LOVE YOURSELF 承 'Her',10097112.0,405511
11,00:00 (Zero O’Clock),32399832.0,방탄소년단,672375.0,MAP OF THE SOUL : 7,10377346.0,187102
12,Black Swan,32323969.0,방탄소년단,672375.0,MAP OF THE SOUL : 7,10377346.0,202864
13,친구,32399834.0,방탄소년단,672375.0,MAP OF THE SOUL : 7,10377346.0,183782
14,Filter,32399827.0,방탄소년단,672375.0,MAP OF THE SOUL : 7,10377346.0,159668
15,I'm Fine,31266289.0,방탄소년단,672375.0,LOVE YOURSELF 結 'Answer',10197480.0,226084
16,Moon,32399835.0,방탄소년단,672375.0,MAP OF THE SOUL : 7,10377346.0,161541
17,We are Bulletproof : the Eternal,32399837.0,방탄소년단,672375.0,MAP OF THE SOUL : 7,10377346.0,148050
18,시차,32399828.0,방탄소년단,672375.0,MAP OF THE SOUL : 7,10377346.0,142835
19,I NEED U,5681153.0,방탄소년단,672375.0,화양연화 pt.1,2316261.0,233198
20,피 땀 눈물,30029173.0,방탄소년단,672375.0,WINGS,10004707.0,303368
21,소우주 (Mikrokosmos),31737198.0,방탄소년단,672375.0,MAP OF THE SOUL : PERSONA,10273641.0,261690
22,Euphoria,31266282.0,방탄소년단,672375.0,LOVE YOURSELF 結 'Answer',10197480.0,239537
23,Inner Child,32399833.0,방탄소년단,672375.0,MAP OF THE SOUL : 7,10377346.0,145408
24,전하지 못한 진심 (Feat. Steve Aoki),31085238.0,방탄소년단,672375.0,LOVE YOURSELF 轉 'Tear',10168559.0,267184
